Country,HCI,EDU,HEALTH,SANI,DEBT,GDP,PNEMO,DIARE
United Arab Emirates,0.66,,3.46601534,93.8537217,,38141.8671,8,1.045706488
Argentina,0.61,5.545489788,9.00189686,51.2635409,1.81639E+11,12790.2425,526,5.173022196
Armenia,0.57,2.75812006,9.95196629,63.1367298,9855623087,3591.82805,134,7.563543127
Australia,0.8,5.276780128,9.24815178,70.3918443,,49881.7637,31,0.395517581
Austria,0.79,5.47961998,10.3522625,99.6379885,,45307.5879,5,0.394432369
Azerbaijan,0.6,2.903409958,4.03655434,23.6573678,14590007639,3880.73873,1700,18.71502521
Burundi,0.38,4.691999912,7.71920919,,602774776.7,260.565221,2697,394.6345388
Belgium,0.76,6.461730003,10.7731972,85.2973202,,42012.6227,10,0.897797304
Benin,0.41,2.899100065,2.73950028,,2258065495,1087.28733,6207,207.6609991
Burkina Faso,0.37,,5.95963097,,2863797382,688.250696,16658,367.1155504
Bangladesh,0.48,1.535539985,2.47291207,34.6717507,38480571898,1401.56464,16711,32.40745305
Bulgaria,0.68,,7.47690725,64.693055,39994027753,7569.47881,74,3.95242769
Bahrain,0.67,,4.86063528,87.5933158,,22608.4526,3,1.834889025
Bosnia and Herzegovina,0.62,,9.24976635,36.9791645,11630871770,4994.97155,6,1.191750566
Brazil,0.56,6.314040184,9.16901207,44.8839829,5.43257E+11,8710.06329,5948,31.34406623
Botswana,0.42,7.974820137,5.56052208,,2126448972,6982.91749,306,136.0857444
Canada,0.8,,11.0229607,83.1915656,,42315.6037,35,0.602044311
Switzerland,0.77,4.926459789,11.3000546,99.6359492,,83073.2801,5,1.001958429
Chile,0.67,5.342010021,8.51866722,72.7574419,,13753.5921,68,1.005310413
China,0.67,3.79362011,4.97955608,56.2405408,1.4138E+12,8094.36337,22220,5.599677705
Cote d'Ivoire,0.35,3.97232008,3.35172296,,11457186654,2013.38145,11062,195.2225156
Cameroon,0.39,2.654230118,3.72950816,,7890233642,1413.25596,9333,558.7718565
"Congo, Dem. Rep.",0.37,2.118690014,4.36603069,14.5773222,5021565632,471.318822,,
"Congo, Rep.",0.42,5.20979023,2.79067516,,4874543671,2050.99341,,
Colombia,0.59,4.477210045,7.53117037,17.716332,1.20659E+11,5870.77796,1141,12.57383006
Comoros,0.41,,4.65263557,,179966571.8,1273.05095,161,213.4031416
Costa Rica,0.62,6.893959999,7.31724358,31.5331196,25562670955,12011.2228,37,4.113640576
Cyprus,0.75,6.145410061,6.62359428,76.9083626,,24605.9208,1,0.168110269
Czech Republic,0.78,5.553730011,7.10655022,82.4552553,,18575.232,,
Germany,0.8,4.839230061,11.2356367,96.9554266,,42136.1208,43,0.421963954
Denmark,0.77,,10.1445618,90.9033805,,54663.9984,4,0.75301154
Dominican Republic,0.49,3.850500107,5.82760334,,28291425525,7280.88361,368,32.6343398
